Movimiento Natural de la Población (Resultados Provisionales)
Matrimonios
Matrimonios por provincia de residencia del matrimonio, mes de celebración y forma de celebración del matrimonio
Unidades: matrimonios

;Enero;;;;;Febrero;;;;;Marzo;;;;;Abril;;;;;Mayo;;;;;Junio;;;;;Julio;;;;;Agosto;;;;;Septiembre;;;;;Octubre;;;;;Noviembre;;;;;Diciembre;;;;;Total;;;;;
;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;
Albacete;38.0;1.0;37.0;..;..;39.0;2.0;37.0;..;..;83.0;14.0;68.0;1.0;..;95.0;28.0;65.0;1.0;1.0;110.0;40.0;68.0;1.0;1.0;205.0;77.0;128.0;..;..;189.0;80.0;109.0;..;..;134.0;64.0;70.0;..;..;200.0;82.0;114.0;4.0;..;145.0;70.0;75.0;..;..;64.0;13.0;50.0;1.0;..;73.0;8.0;64.0;1.0;..;1375.0;479.0;885.0;9.0;2.0;
Alicante/Alacant;235.0;9.0;222.0;4.0;..;329.0;16.0;306.0;6.0;1.0;504.0;42.0;457.0;5.0;..;539.0;123.0;408.0;6.0;2.0;672.0;109.0;551.0;9.0;3.0;890.0;204.0;674.0;10.0;2.0;683.0;156.0;514.0;10.0;3.0;351.0;80.0;263.0;4.0;4.0;1017.0;286.0;721.0;8.0;2.0;752.0;185.0;557.0;7.0;3.0;464.0;75.0;381.0;4.0;4.0;365.0;31.0;325.0;9.0;..;6801.0;1316.0;5379.0;82.0;24.0;
Almería;80.0;6.0;72.0;..;2.0;92.0;10.0;81.0;..;1.0;120.0;21.0;95.0;1.0;3.0;188.0;64.0;120.0;2.0;2.0;179.0;44.0;130.0;..;5.0;276.0;91.0;177.0;2.0;6.0;239.0;93.0;136.0;1.0;9.0;153.0;66.0;81.0;2.0;4.0;323.0;147.0;161.0;3.0;12.0;243.0;84.0;150.0;2.0;7.0;128.0;24.0;97.0;..;7.0;115.0;21.0;88.0;..;6.0;2136.0;671.0;1388.0;13.0;64.0;
Araba/Álava;30.0;..;28.0;..;2.0;36.0;2.0;34.0;..;..;56.0;1.0;54.0;..;1.0;56.0;10.0;46.0;..;..;104.0;14.0;89.0;..;1.0;166.0;27.0;139.0;..;..;179.0;50.0;128.0;..;1.0;68.0;15.0;51.0;..;2.0;176.0;43.0;132.0;..;1.0;103.0;13.0;89.0;1.0;..;75.0;7.0;67.0;1.0;..;51.0;4.0;47.0;..;..;1100.0;186.0;904.0;2.0;8.0;
Asturias;130.0;6.0;124.0;..;..;127.0;13.0;114.0;..;..;211.0;26.0;183.0;2.0;..;215.0;33.0;182.0;..;..;311.0;62.0;247.0;2.0;..;436.0;99.0;335.0;2.0;..;478.0;122.0;356.0;..;..;335.0;121.0;213.0;1.0;..;594.0;199.0;395.0;..;..;341.0;94.0;246.0;1.0;..;217.0;24.0;193.0;..;..;238.0;29.0;209.0;..;..;3633.0;828.0;2797.0;8.0;..;
Ávila;14.0;1.0;13.0;..;..;7.0;2.0;5.0;..;..;18.0;1.0;17.0;..;..;18.0;4.0;14.0;..;..;44.0;10.0;34.0;..;..;66.0;26.0;40.0;..;..;80.0;46.0;34.0;..;..;68.0;38.0;30.0;..;..;77.0;36.0;41.0;..;..;23.0;8.0;15.0;..;..;14.0;2.0;12.0;..;..;10.0;1.0;8.0;1.0;..;439.0;175.0;263.0;1.0;..;
Badajoz;37.0;2.0;35.0;..;..;76.0;9.0;67.0;..;..;132.0;30.0;100.0;2.0;..;158.0;69.0;88.0;1.0;..;186.0;68.0;118.0;..;..;355.0;163.0;192.0;..;..;326.0;182.0;143.0;1.0;..;262.0;150.0;111.0;1.0;..;369.0;202.0;166.0;1.0;..;217.0;93.0;123.0;..;1.0;105.0;25.0;80.0;..;..;89.0;14.0;74.0;1.0;..;2312.0;1007.0;1297.0;7.0;1.0;
Balears, Illes;172.0;11.0;159.0;..;2.0;226.0;8.0;208.0;1.0;9.0;268.0;23.0;237.0;1.0;7.0;323.0;45.0;271.0;1.0;6.0;399.0;54.0;330.0;2.0;13.0;572.0;90.0;469.0;3.0;10.0;505.0;93.0;401.0;2.0;9.0;353.0;61.0;279.0;..;13.0;730.0;142.0;575.0;3.0;10.0;509.0;87.0;414.0;1.0;7.0;413.0;51.0;354.0;4.0;4.0;259.0;22.0;230.0;..;7.0;4729.0;687.0;3927.0;18.0;97.0;
Barcelona;890.0;23.0;849.0;17.0;1.0;1042.0;30.0;1003.0;7.0;2.0;1377.0;54.0;1310.0;12.0;1.0;1644.0;204.0;1427.0;13.0;..;2193.0;237.0;1931.0;23.0;2.0;3005.0;385.0;2598.0;20.0;2.0;3157.0;476.0;2649.0;26.0;6.0;753.0;209.0;531.0;11.0;2.0;3050.0;483.0;2541.0;24.0;2.0;1986.0;226.0;1738.0;17.0;5.0;1417.0;76.0;1336.0;5.0;..;1009.0;54.0;948.0;7.0;..;21523.0;2457.0;18861.0;182.0;23.0;
