MNP Estadística de Nacimientos
Nacimientos.Datos por provincias y capitales
Nacimientos por residencia de la madre (provincia), meses del año y  sexo del nacido.
Unidades: Nacimientos

;Total;;;Enero;;;Febrero;;;Marzo;;;Abril;;;Mayo;;;Junio;;;Julio;;;Agosto;;;Septiembre;;;Octubre;;;Noviembre;;;Diciembre;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;
Total;393181.0;202478.0;190703.0;32703.0;16998.0;15705.0;29795.0;15334.0;14461.0;32849.0;16956.0;15893.0;30747.0;15924.0;14823.0;32772.0;16718.0;16054.0;32096.0;16359.0;15737.0;34035.0;17458.0;16577.0;34069.0;17618.0;16451.0;33737.0;17463.0;16274.0;35049.0;18014.0;17035.0;33357.0;17211.0;16146.0;31972.0;16425.0;15547.0;
Albacete;3219.0;1685.0;1534.0;225.0;111.0;114.0;268.0;135.0;133.0;303.0;158.0;145.0;254.0;141.0;113.0;270.0;136.0;134.0;257.0;129.0;128.0;305.0;161.0;144.0;274.0;148.0;126.0;271.0;123.0;148.0;276.0;150.0;126.0;262.0;154.0;108.0;254.0;139.0;115.0;
Alicante/Alacant;15039.0;7711.0;7328.0;1324.0;691.0;633.0;1146.0;616.0;530.0;1214.0;606.0;608.0;1181.0;641.0;540.0;1219.0;602.0;617.0;1192.0;605.0;587.0;1267.0;660.0;607.0;1273.0;642.0;631.0;1237.0;641.0;596.0;1416.0;715.0;701.0;1337.0;666.0;671.0;1233.0;626.0;607.0;
Almería;7562.0;3847.0;3715.0;642.0;343.0;299.0;581.0;289.0;292.0;627.0;320.0;307.0;573.0;288.0;285.0;614.0;304.0;310.0;617.0;317.0;300.0;603.0;295.0;308.0;634.0;336.0;298.0;665.0;346.0;319.0;713.0;371.0;342.0;668.0;340.0;328.0;625.0;298.0;327.0;
Araba/Álava;2962.0;1498.0;1464.0;254.0;139.0;115.0;229.0;116.0;113.0;230.0;118.0;112.0;246.0;120.0;126.0;248.0;111.0;137.0;252.0;120.0;132.0;262.0;140.0;122.0;254.0;135.0;119.0;253.0;122.0;131.0;272.0;130.0;142.0;226.0;118.0;108.0;236.0;129.0;107.0;
Asturias;6012.0;3123.0;2889.0;465.0;253.0;212.0;446.0;216.0;230.0;535.0;282.0;253.0;480.0;252.0;228.0;530.0;260.0;270.0;483.0;250.0;233.0;532.0;269.0;263.0;535.0;279.0;256.0;502.0;271.0;231.0;491.0;262.0;229.0;468.0;238.0;230.0;545.0;291.0;254.0;
Ávila;1072.0;539.0;533.0;72.0;36.0;36.0;85.0;41.0;44.0;66.0;31.0;35.0;74.0;39.0;35.0;95.0;45.0;50.0;99.0;45.0;54.0;95.0;56.0;39.0;104.0;58.0;46.0;95.0;43.0;52.0;87.0;47.0;40.0;103.0;56.0;47.0;97.0;42.0;55.0;
Badajoz;5721.0;2916.0;2805.0;479.0;233.0;246.0;446.0;216.0;230.0;482.0;259.0;223.0;461.0;234.0;227.0;519.0;263.0;256.0;479.0;236.0;243.0;483.0;243.0;240.0;450.0;238.0;212.0;490.0;253.0;237.0;520.0;294.0;226.0;481.0;230.0;251.0;431.0;217.0;214.0;
Balears, Illes;10288.0;5289.0;4999.0;854.0;460.0;394.0;803.0;396.0;407.0;872.0;443.0;429.0;717.0;383.0;334.0;839.0;429.0;410.0;817.0;425.0;392.0;887.0;459.0;428.0;882.0;481.0;401.0;919.0;483.0;436.0;915.0;462.0;453.0;880.0;426.0;454.0;903.0;442.0;461.0;
